P(Pa),H(J/mol),T(K),S(J/mol/K),V,,,,,,,,
100000,1275.88638,290,4.526294591,0,,,,,,,,
351515.1515,1275.88638,289.9428529,4.510650782,0,,,,,,,,
603030.303,1275.88638,289.8856982,4.495005867,0,,,,,,,,
854545.4545,1275.88638,289.8285358,4.479359845,0,,,,,,,,
1106060.606,1275.88638,289.7713658,4.463712715,0,,,,,,,,
1357575.758,1275.88638,289.7141882,4.448064472,0,,,,,,,,
1609090.909,1275.88638,289.6570031,4.432415117,0,,,,,,,,
1860606.061,1275.88638,289.5998104,4.416764646,0,,,,,,,,
2112121.212,1275.88638,289.5426102,4.401113058,0,,,,,,,,
2363636.364,1275.88638,289.4854025,4.385460351,0,,,,,,,,
2615151.515,1275.88638,289.4281872,4.369806522,0,,,,,,,,
2866666.667,1275.88638,289.3709645,4.354151569,0,,,,,,,,
3118181.818,1275.88638,289.3137343,4.338495491,0,,,,,,,,
3369696.97,1275.88638,289.2564967,4.322838286,0,,,,,,,,
3621212.121,1275.88638,289.1992516,4.307179951,0,,,,,,,,
3872727.273,1275.88638,289.1419992,4.291520484,0,,,,,,,,
4124242.424,1275.88638,289.0847393,4.275859883,0,,,,,,,,
4375757.576,1275.88638,289.0274721,4.260198147,0,,,,,,,,
4627272.727,1275.88638,288.9701975,4.244535273,0,,,,,,,,
4878787.879,1275.88638,288.9129156,4.228871259,0,,,,,,,,
5130303.03,1275.88638,288.8556263,4.213206104,0,,,,,,,,
5381818.182,1275.88638,288.7983298,4.197539805,0,,,,,,,,
5633333.333,1275.88638,288.7410259,4.181872359,0,,,,,,,,
5884848.485,1275.88638,288.6837148,4.166203767,0,,,,,,,,
6136363.636,1275.88638,288.6263965,4.150534024,0,,,,,,,,
6387878.788,1275.88638,288.5690709,4.134863129,0,,,,,,,,
6639393.939,1275.88638,288.5117381,4.119191081,0,,,,,,,,
6890909.091,1275.88638,288.4543981,4.103517877,0,,,,,,,,
7142424.242,1275.88638,288.3970509,4.087843514,0,,,,,,,,
7393939.394,1275.88638,288.3396965,4.072167993,0,,,,,,,,
7645454.545,1275.88638,288.282335,4.056491309,0,,,,,,,,
7896969.697,1275.88638,288.2249664,4.040813461,0,,,,,,,,
8148484.848,1275.88638,288.1675907,4.025134448,0,,,,,,,,
8400000,1275.88638,288.1102078,4.009454266,0,,,,,,,,
8651515.152,1275.88638,288.0528179,3.993772915,0,,,,,,,,
8903030.303,1275.88638,287.9954209,3.978090393,0,,,,,,,,
9154545.455,1275.88638,287.9380169,3.962406696,0,,,,,,,,
9406060.606,1275.88638,287.8806059,3.946721824,0,,,,,,,,
9657575.758,1275.88638,287.8231878,3.931035774,0,,,,,,,,
9909090.909,1275.88638,287.7657628,3.915348544,0,,,,,,,,
10160606.06,1275.88638,287.7083308,3.899660133,0,,,,,,,,
10412121.21,1275.88638,287.6508918,3.883970538,0,,,,,,,,
10663636.36,1275.88638,287.5934458,3.868279757,0,,,,,,,,
10915151.52,1275.88638,287.535993,3.852587789,0,,,,,,,,
11166666.67,1275.88638,287.4785332,3.836894631,0,,,,,,,,
11418181.82,1275.88638,287.4210666,3.821200282,0,,,,,,,,
11669696.97,1275.88638,287.3635931,3.80550474,0,,,,,,,,
11921212.12,1275.88638,287.3061127,3.789808002,0,,,,,,,,
12172727.27,1275.88638,287.2486254,3.774110066,0,,,,,,,,
12424242.42,1275.88638,287.1911314,3.758410932,0,,,,,,,,
12675757.58,1275.88638,287.1336305,3.742710596,0,,,,,,,,
12927272.73,1275.88638,287.0761229,3.727009057,0,,,,,,,,
13178787.88,1275.88638,287.0186084,3.711306313,0,,,,,,,,
13430303.03,1275.88638,286.9610872,3.695602362,0,,,,,,,,
13681818.18,1275.88638,286.9035593,3.679897201,0,,,,,,,,
13933333.33,1275.88638,286.8460247,3.66419083,0,,,,,,,,
14184848.48,1275.88638,286.7884833,3.648483246,0,,,,,,,,
14436363.64,1275.88638,286.7309352,3.632774447,0,,,,,,,,
14687878.79,1275.88638,286.6733805,3.617064431,0,,,,,,,,
14939393.94,1275.88638,286.6158191,3.601353197,0,,,,,,,,
15190909.09,1275.88638,286.558251,3.585640742,0,,,,,,,,
15442424.24,1275.88638,286.5006763,3.569927064,0,,,,,,,,
15693939.39,1275.88638,286.443095,3.554212163,0,,,,,,,,
15945454.55,1275.88638,286.3855071,3.538496034,0,,,,,,,,
16196969.7,1275.88638,286.3279127,3.522778678,0,,,,,,,,
16448484.85,1275.88638,286.2703116,3.507060091,0,,,,,,,,
16700000,1275.88638,286.212704,3.491340272,0,,,,,,,,
16951515.15,1275.88638,286.1550899,3.475619219,0,,,,,,,,
17203030.3,1275.88638,286.0974693,3.45989693,0,,,,,,,,
17454545.45,1275.88638,286.0398421,3.444173403,0,,,,,,,,
17706060.61,1275.88638,285.9822085,3.428448636,0,,,,,,,,
17957575.76,1275.88638,285.9245684,3.412722628,0,,,,,,,,
18209090.91,1275.88638,285.8669218,3.396995377,0,,,,,,,,
18460606.06,1275.88638,285.8092688,3.381266879,0,,,,,,,,
18712121.21,1275.88638,285.7516094,3.365537135,0,,,,,,,,
18963636.36,1275.88638,285.6939436,3.349806141,0,,,,,,,,
19215151.52,1275.88638,285.6362714,3.334073896,0,,,,,,,,
19466666.67,1275.88638,285.5785927,3.318340398,0,,,,,,,,
19718181.82,1275.88638,285.5209078,3.302605645,0,,,,,,,,
19969696.97,1275.88638,285.4632165,3.286869635,0,,,,,,,,
20221212.12,1275.88638,285.4055188,3.271132367,0,,,,,,,,
20472727.27,1275.88638,285.3478149,3.255393838,0,,,,,,,,
20724242.42,1275.88638,285.2901046,3.239654046,0,,,,,,,,
20975757.58,1275.88638,285.232388,3.223912991,0,,,,,,,,
21227272.73,1275.88638,285.1746652,3.208170669,0,,,,,,,,
21478787.88,1275.88638,285.1169361,3.192427078,0,,,,,,,,
21730303.03,1275.88638,285.0592008,3.176682218,0,,,,,,,,
21981818.18,1275.88638,285.0014593,3.160936086,0,,,,,,,,
22233333.33,1275.88638,284.9437115,3.145188681,0,,,,,,,,
22484848.48,1275.88638,284.8859575,3.12944,0,,,,,,,,
22736363.64,1275.88638,284.8281974,3.113690041,0,,,,,,,,
22987878.79,1275.88638,284.7704311,3.097938803,0,,,,,,,,
23239393.94,1275.88638,284.7126586,3.082186284,0,,,,,,,,
23490909.09,1275.88638,284.65488,3.066432482,0,,,,,,,,
23742424.24,1275.88638,284.5970953,3.050677395,0,,,,,,,,
23993939.39,1275.88638,284.5393045,3.034921021,0,,,,,,,,
24245454.55,1275.88638,284.4815075,3.019163359,0,,,,,,,,
24496969.7,1275.88638,284.4237045,3.003404406,0,,,,,,,,
24748484.85,1275.88638,284.3658954,2.987644161,0,,,,,,,,
25000000,1275.88638,284.3080803,2.971882622,0,,,,,,,,
100000,1924.847124,298.6107163,6.731518114,0,,,,,,,,
351515.1515,1924.847124,298.5550877,6.716296922,0,,,,,,,,
603030.303,1924.847124,298.4994514,6.701074844,0,,,,,,,,
854545.4545,1924.847124,298.4438074,6.685851879,0,,,,,,,,
1106060.606,1924.847124,298.3881556,6.670628024,0,,,,,,,,
1357575.758,1924.847124,298.3324963,6.655403277,0,,,,,,,,
1609090.909,1924.847124,298.2768292,6.640177637,0,,,,,,,,
1860606.061,1924.847124,298.2211545,6.6249511,0,,,,,,,,
2112121.212,1924.847124,298.1654722,6.609723666,0,,,,,,,,
2363636.364,1924.847124,298.1097824,6.594495332,0,,,,,,,,
2615151.515,1924.847124,298.0540849,6.579266097,0,,,,,,,,
2866666.667,1924.847124,297.9983799,6.564035957,0,,,,,,,,
3118181.818,1924.847124,297.9426673,6.548804912,0,,,,,,,,
3369696.97,1924.847124,297.8869472,6.533572958,0,,,,,,,,
3621212.121,1924.847124,297.8312197,6.518340095,0,,,,,,,,
3872727.273,1924.847124,297.7754846,6.50310632,0,,,,,,,,
4124242.424,1924.847124,297.7197421,6.48787163,0,,,,,,,,
4375757.576,1924.847124,297.6639921,6.472636025,0,,,,,,,,
4627272.727,1924.847124,297.6082348,6.457399502,0,,,,,,,,
4878787.879,1924.847124,297.55247,6.442162058,0,,,,,,,,
5130303.03,1924.847124,297.4966978,6.426923693,0,,,,,,,,
5381818.182,1924.847124,297.4409183,6.411684404,0,,,,,,,,
5633333.333,1924.847124,297.3851314,6.396444189,0,,,,,,,,
5884848.485,1924.847124,297.3293373,6.381203046,0,,,,,,,,
6136363.636,1924.847124,297.2735358,6.365960972,0,,,,,,,,
6387878.788,1924.847124,297.217727,6.350717967,0,,,,,,,,
6639393.939,1924.847124,297.1619109,6.335474028,0,,,,,,,,
6890909.091,1924.847124,297.1060876,6.320229153,0,,,,,,,,
7142424.242,1924.847124,297.0502571,6.30498334,0,,,,,,,,
7393939.394,1924.847124,296.9944194,6.289736588,0,,,,,,,,
7645454.545,1924.847124,296.9385744,6.274488893,0,,,,,,,,
7896969.697,1924.847124,296.8827223,6.259240255,0,,,,,,,,
8148484.848,1924.847124,296.8268631,6.243990671,0,,,,,,,,
8400000,1924.847124,296.7709967,6.228740139,0,,,,,,,,
8651515.152,1924.847124,296.7151232,6.213488657,0,,,,,,,,
8903030.303,1924.847124,296.6592426,6.198236224,0,,,,,,,,
9154545.455,1924.847124,296.6033549,6.182982837,0,,,,,,,,
9406060.606,1924.847124,296.5474601,6.167728494,0,,,,,,,,
9657575.758,1924.847124,296.4915584,6.152473194,0,,,,,,,,
9909090.909,1924.847124,296.4356495,6.137216935,0,,,,,,,,
10160606.06,1924.847124,296.3797337,6.121959714,0,,,,,,,,
10412121.21,1924.847124,296.3238109,6.106701529,0,,,,,,,,
10663636.36,1924.847124,296.2678812,6.09144238,0,,,,,,,,
10915151.52,1924.847124,296.2119445,6.076182263,0,,,,,,,,
11166666.67,1924.847124,296.1560008,6.060921177,0,,,,,,,,
11418181.82,1924.847124,296.1000503,6.045659119,0,,,,,,,,
11669696.97,1924.847124,296.0440928,6.030396089,0,,,,,,,,
11921212.12,1924.847124,295.9881285,6.015132083,0,,,,,,,,
12172727.27,1924.847124,295.9321573,5.999867101,0,,,,,,,,
12424242.42,1924.847124,295.8761793,5.98460114,0,,,,,,,,
12675757.58,1924.847124,295.8201945,5.969334198,0,,,,,,,,
